,file,emotion,speaker,text
0,./wav_path/./wav_path/Ses01F_impro01_F000.wav,e0,Ses01F,EXCUSE ME .
1,./wav_path/./wav_path/Ses01F_impro01_F001.wav,e0,Ses01F,YEAH .
2,./wav_path/./wav_path/Ses01F_impro01_F002.wav,e0,Ses01F,IS THERE A PROBLEM .
3,./wav_path/./wav_path/Ses01F_impro01_F005.wav,e0,Ses01F,WELL WHAT'S  THE PROBLEM LET ME CHANGE IT .
4,./wav_path/./wav_path/Ses01F_impro01_F012.wav,e2,Ses01F,THAT'S OUT OF CONTROL .
5,./wav_path/./wav_path/Ses01F_impro01_F014.wav,e0,Ses01F,CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING .
6,./wav_path/./wav_path/Ses01F_impro01_M011.wav,e2,Ses01M,I  DON'T UNDERSTAND WHY THIS IS SO COMPLICATED FOR PEOPLE WHEN THEY GET HERE . IT'S JUST A SIMPLE FORM I JUST NEED AN ID .
7,./wav_path/./wav_path/Ses01F_impro01_M013.wav,e2,Ses01M,YEAH  DO YOU  WANT . TO SEE MY SUPERVISOR HUH YEAH DO YOU WANT TO SEE MY SUPERVISOR FINE I'LL BE RIGHT BACK .
8,./wav_path/./wav_path/Ses01F_impro02_F000.wav,e3,Ses01F,DID YOU GET THE MAIL SO YOU SAW MY LETTER .
9,./wav_path/./wav_path/Ses01F_impro02_F001.wav,e3,Ses01F,YEAH I KNOW .
10,./wav_path/./wav_path/Ses01F_impro02_F002.wav,e3,Ses01F,I DON'T KNOW I . PUT IN THAT REQUEST TOO THEY DIDN'T .
11,./wav_path/./wav_path/Ses01F_impro02_F003.wav,e0,Ses01F,I GUESS YOU KNOW EVERYBODY HAS TO MAKE . SACRIFICES .
12,./wav_path/./wav_path/Ses01F_impro02_F004.wav,e3,Ses01F,THERE'S PEOPLE THAT HAVE GIVEN MORE THOUGH . YOU KNOW .
13,./wav_path/./wav_path/Ses01F_impro02_F005.wav,e3,Ses01F,I KNOW .
14,./wav_path/./wav_path/Ses01F_impro02_F006.wav,e0,Ses01F,THERE'S BABIES OVER THERE THOUGH  THAT NEED MOTHERS .
15,./wav_path/./wav_path/Ses01F_impro02_F008.wav,e3,Ses01F,JUST YOU KNOW KICKING MYSELF .
16,./wav_path/./wav_path/Ses01F_impro02_F010.wav,e3,Ses01F,THINGS JUST AREN'T WHAT THEY SEEM .
17,./wav_path/./wav_path/Ses01F_impro02_F012.wav,e3,Ses01F,IF NOT ME THEN WHO .
18,./wav_path/./wav_path/Ses01F_impro02_F013.wav,e3,Ses01F,YOU'LL VIDEOTAPE EVERYTHING YEAH .
19,./wav_path/./wav_path/Ses01F_impro02_F014.wav,e3,Ses01F,MAYBE YOU . CAN . SEND IT TO ME LIKE . STREAM IT YEAH .
20,./wav_path/./wav_path/Ses01F_impro02_F015.wav,e3,Ses01F,LAST MONTH YEAH .
21,./wav_path/./wav_path/Ses01F_impro02_F016.wav,e0,Ses01F,I HAVE TO FIND SITTERS .
22,./wav_path/./wav_path/Ses01F_impro02_F017.wav,e3,Ses01F,WE'VE GOT FRIENDS THAT'S WHY WE MOVED . HERE . HUH  BECAUSE THERE . IS A DAY CARE DOWN THE STREET .
23,./wav_path/./wav_path/Ses01F_impro02_F018.wav,e0,Ses01F,AND YOUR MOTHER IS CLOSE BY .
24,./wav_path/./wav_path/Ses01F_impro02_F019.wav,e3,Ses01F,I'LL SEND YOU LOTS OF LETTERS .
25,./wav_path/./wav_path/Ses01F_impro02_F020.wav,e3,Ses01F,AND I WANT LOTS AND LOTS AND LOTS OF PICTURES .
26,./wav_path/./wav_path/Ses01F_impro02_M001.wav,e3,Ses01M,I DON'T UNDERSTAND YOU'VE ALREADY DONE SO MUCH I DON'T KNOW WHY DO YOU HAVE TO GO BACK .
27,./wav_path/./wav_path/Ses01F_impro02_M005.wav,e3,Ses01M,I DON'T KNOW HOW YOU CAN BE OKAY WITH THIS I DON'T KNOW WHY YOU'RE NOT . YOU'RE FINE WITH IT .
28,./wav_path/./wav_path/Ses01F_impro02_M009.wav,e3,Ses01M,I JUST DON'T SEE WHY IT HAS TO BE YOU .
29,./wav_path/./wav_path/Ses01F_impro02_M010.wav,e3,Ses01M,WHAT AM I GOING TO DO HUH .
30,./wav_path/./wav_path/Ses01F_impro02_M011.wav,e3,Ses01M,YEAH .
31,./wav_path/./wav_path/Ses01F_impro02_M012.wav,e0,Ses01M,DON'T YOU GUYS HAVE ACCESS TO COMPUTERS OVER THERE .
32,./wav_path/./wav_path/Ses01F_impro02_M013.wav,e3,Ses01M,I JUST DON'T KNOW HOW I'M GOING TO DO IT WITHOUT YOU .
33,./wav_path/./wav_path/Ses01F_impro02_M014.wav,e3,Ses01M,I CAN'T RAISE A BABY BY MYSELF . HOW .
34,./wav_path/./wav_path/Ses01F_impro02_M015.wav,e0,Ses01M,I KNOW .
35,./wav_path/./wav_path/Ses01F_impro03_F000.wav,e1,Ses01F,WELL . VEGAS WAS AWESOME .
36,./wav_path/./wav_path/Ses01F_impro03_F001.wav,e1,Ses01F,AND UM I GOT MARRIED .
37,./wav_path/./wav_path/Ses01F_impro03_F002.wav,e1,Ses01F,YEAH  IN THE OLD TOWN PART .
38,./wav_path/./wav_path/Ses01F_impro03_F004.wav,e1,Ses01F,UM . YES . IT  WAS VERY ROMANTIC .
39,./wav_path/./wav_path/Ses01F_impro03_F005.wav,e1,Ses01F,IT WAS AT THE SLOT MACHINES .
40,./wav_path/./wav_path/Ses01F_impro03_F006.wav,e1,Ses01F,UHUH UHUH HE WON BIG AND HE AND HE REALIZED THAT THE ONLY THING THAT WOULD MAKE IT BETTER WAS  ME AS HIS BRIDE .
41,./wav_path/./wav_path/Ses01F_impro03_F008.wav,e1,Ses01F,YEAH . WELL . YOU KNOW BECAUSE HE'S LEAVING THE NEXT DAY .
42,./wav_path/./wav_path/Ses01F_impro03_F009.wav,e1,Ses01F,BUT WE'RE GOING TO HAVE A HONEYMOON CRUISE .
43,./wav_path/./wav_path/Ses01F_impro03_F010.wav,e1,Ses01F,OH . I HADN'T EVEN THOUGHT ABOUT THAT .
44,./wav_path/./wav_path/Ses01F_impro03_F012.wav,e1,Ses01F,OH TOTALLY .
45,./wav_path/./wav_path/Ses01F_impro03_F013.wav,e1,Ses01F,I GUESS I'LL I GUESS I'LL HAVE AN INTERNET HUSBAND  {LG} .
46,./wav_path/./wav_path/Ses01F_impro03_F015.wav,e1,Ses01F,YEAH . SO . {LG} . HE'S CALLING ME NOW .
47,./wav_path/./wav_path/Ses01F_impro03_F016.wav,e1,Ses01F,HE LIKES TO KEEP TABS . YOU KNOW .
48,./wav_path/./wav_path/Ses01F_impro03_F017.wav,e0,Ses01F,UH . I  THINK SEVEN HUNDRED AND FIFTY DOLLARS .
49,./wav_path/./wav_path/Ses01F_impro03_F018.wav,e0,Ses01F,PENNY SLOTS  THAT'S WHAT HE PLAYS .
50,./wav_path/./wav_path/Ses01F_impro03_F019.wav,e0,Ses01F,YEAH .
51,./wav_path/./wav_path/Ses01F_impro03_F021.wav,e1,Ses01F,YEAH . WE PLAYED WHEEL OF FORTUNE PENNIES . IT'S LIKE A GIANT THING WITH LIKE .
52,./wav_path/./wav_path/Ses01F_impro03_F022.wav,e0,Ses01F,FIFTY BUCKS MMHMM .
53,./wav_path/./wav_path/Ses01F_impro03_F023.wav,e0,Ses01F,YEAH .
54,./wav_path/./wav_path/Ses01F_impro03_F024.wav,e1,Ses01F,WELL SO NOW WE'RE MARRIED  WE  HAVE CAT CHILDREN .
55,./wav_path/./wav_path/Ses01F_impro03_F025.wav,e1,Ses01F,WE RENAMED BRENDA  LUMBER JANET .
56,./wav_path/./wav_path/Ses01F_impro03_F026.wav,e1,Ses01F,SHE NEEDS A NEW NAME EACH STATE THAT WE GO INTO  {LG} .
57,./wav_path/./wav_path/Ses01F_impro03_M000.wav,e0,Ses01M,SO WHAT'S UP WHAT'S NEW .
58,./wav_path/./wav_path/Ses01F_impro03_M001.wav,e0,Ses01M,YEAH I HEARD .
59,./wav_path/./wav_path/Ses01F_impro03_M003.wav,e1,Ses01M,WHO DID YOU  MARRY .
60,./wav_path/./wav_path/Ses01F_impro03_M006.wav,e0,Ses01M,HE TURNED TO YOU AND WAS LIKE .
61,./wav_path/./wav_path/Ses01F_impro03_M007.wav,e1,Ses01M,{LG} THAT'S REALLY ROMANTIC .
62,./wav_path/./wav_path/Ses01F_impro03_M008.wav,e0,Ses01M,YEAH .
63,./wav_path/./wav_path/Ses01F_impro03_M009.wav,e0,Ses01M,DOES THAT MEAN THAT YOU'RE GOING TO GET CITIZENSHIP TOO IN . IN ENGLAND OR  WHATEVER .
64,./wav_path/./wav_path/Ses01F_impro03_M011.wav,e0,Ses01M,YEAH BUT HE'LL HAVE LIKE A LONG VISA . CAN YOU GO VISIT THEN FOR A LONG TIME .
65,./wav_path/./wav_path/Ses01F_impro03_M013.wav,e1,Ses01M,LIKE YOU NEED ANOTHER ONE OF THOSE {LG} .
66,./wav_path/./wav_path/Ses01F_impro03_M014.wav,e1,Ses01M,IS . THAT . YOUR PHONE .
67,./wav_path/./wav_path/Ses01F_impro03_M015.wav,e1,Ses01M,HE LOVES YOU .
68,./wav_path/./wav_path/Ses01F_impro03_M016.wav,e0,Ses01M,HOW MUCH DID HE WIN AT THE SLOT .
69,./wav_path/./wav_path/Ses01F_impro03_M019.wav,e0,Ses01M,I'M A BIG FAN OF THE WHEEL OF FORTUNE QUARTERS  BUT IT JUST COSTS SO MUCH  I DON'T KNOW .
70,./wav_path/./wav_path/Ses01F_impro03_M020.wav,e0,Ses01M,BUT THE PENNIES ALWAYS GET YOU BECAUSE YOU END UP SPENDING LIKE YOU KNOW . FIFTY BUCKS .
71,./wav_path/./wav_path/Ses01F_impro03_M021.wav,e0,Ses01M,LIKE WAIT BUT IT'S JUST PENNIES YOU'RE LIKE WAIT A MINUTE I'M ON TO YOU .
72,./wav_path/./wav_path/Ses01F_impro03_M022.wav,e1,Ses01M,AWESOME .
73,./wav_path/./wav_path/Ses01F_impro03_M023.wav,e1,Ses01M,{LG} CAT BABIES .
74,./wav_path/./wav_path/Ses01F_impro03_M024.wav,e0,Ses01M,THAT'S FAIR ENOUGH .
75,./wav_path/./wav_path/Ses01F_impro04_F000.wav,e0,Ses01F,UH WHAT . CRAIG'S LIST OH THE INTERNET THING .
76,./wav_path/./wav_path/Ses01F_impro04_F001.wav,e0,Ses01F,I DON'T KNOW ISN'T THAT THAT'S ALL LIKE  ESCORT SERVICES AND THINGS LIKE THAT .
77,./wav_path/./wav_path/Ses01F_impro04_F005.wav,e0,Ses01F,HE JUST .
78,./wav_path/./wav_path/Ses01F_impro04_F006.wav,e0,Ses01F,YOU KNOW WHAT I HEARD ABOUT THAT JOB I APPLIED FOR THAT .
79,./wav_path/./wav_path/Ses01F_impro04_F009.wav,e0,Ses01F,YEAH .
80,./wav_path/./wav_path/Ses01F_impro04_F013.wav,e0,Ses01F,I JUST I MEAN I CALL PEOPLE UP AND I TELL THEM WHAT I'M GOOD AT .
81,./wav_path/./wav_path/Ses01F_impro04_F014.wav,e0,Ses01F,YEAH .
82,./wav_path/./wav_path/Ses01F_impro04_F028.wav,e2,Ses01F,I'M NOT FRUSTRATED .
83,./wav_path/./wav_path/Ses01F_impro04_F029.wav,e2,Ses01F,WHO DO YOU THINK YOU ARE .
84,./wav_path/./wav_path/Ses01F_impro04_F030.wav,e2,Ses01F,YOU ARE SO HIGH AND MIGHTY I JUST .
85,./wav_path/./wav_path/Ses01F_impro04_F031.wav,e2,Ses01F,OH I'M SAVING THE ENVIRONMENT I'M RIDING THIS CAR BECAUSE I I WANT TO .
86,./wav_path/./wav_path/Ses01F_impro04_F032.wav,e2,Ses01F,THE BUS I'M RIDING THE BUS BECAUSE I  WANT TO .
87,./wav_path/./wav_path/Ses01F_impro04_F033.wav,e2,Ses01F,I CAN NOT YOU ARE NOT HERE BY CHOICE  NOBODY WOULD RIDE THIS BUS BY CHOICE .
88,./wav_path/./wav_path/Ses01F_impro04_M000.wav,e0,Ses01M,HAVE YOU TRIED UH CRAIG'S LIST .
89,./wav_path/./wav_path/Ses01F_impro04_M001.wav,e0,Ses01M,YEAH .
90,./wav_path/./wav_path/Ses01F_impro04_M002.wav,e0,Ses01M,NO THERE'S REGULAR JOBS ON THERE .
91,./wav_path/./wav_path/Ses01F_impro04_M003.wav,e0,Ses01M,UH HUH .
92,./wav_path/./wav_path/Ses01F_impro04_M004.wav,e0,Ses01M,I'M JUST SAYING I HAVE A FRIEND THAT GOT A GOOD JOB ON IT SO I WAS JUST RECOMMENDING IT .
93,./wav_path/./wav_path/Ses01F_impro04_M005.wav,e0,Ses01M,HE'S LIKE A MANAGER FOR A THEATRE .
94,./wav_path/./wav_path/Ses01F_impro04_M006.wav,e0,Ses01M,HE'S LIKE A HOUSE MANAGER YEAH IT'S A GOOD JOB .
95,./wav_path/./wav_path/Ses01F_impro04_M007.wav,e0,Ses01M,YOU DID .
96,./wav_path/./wav_path/Ses01F_impro04_M008.wav,e0,Ses01M,YEAH .
97,./wav_path/./wav_path/Ses01F_impro04_M009.wav,e0,Ses01M,YOU'VE BEEN LOOKING FOR A JOB FOR A LONG TIME THAT WAS A LONG TIME AGO RIGHT .
98,./wav_path/./wav_path/Ses01F_impro04_M010.wav,e0,Ses01M,HMM .
99,./wav_path/./wav_path/Ses01F_impro04_M011.wav,e0,Ses01M,I DON'T KNOW HE HAD A  REALLY GOOD RESUME I GUESS AND .
100,./wav_path/./wav_path/Ses01F_impro04_M012.wav,e0,Ses01M,YEAH DO YOU  HAVE A RESUME .
101,./wav_path/./wav_path/Ses01F_impro04_M013.wav,e0,Ses01M,IT'S KIND OF HELPFUL WHEN GETTING A JOB .
